"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 25 12:03:35 MSK 2025","Tue Mar 25 12:03:35 MSK 2025","19","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivity","Тест получения общего времени активности",""
"passed","Tue Mar 25 12:03:35 MSK 2025","Tue Mar 25 12:03:35 MSK 2025","23","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession","Тест записи сессии",""
"passed","Tue Mar 25 12:03:35 MSK 2025","Tue Mar 25 12:03:35 MSK 2025","29","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","testRegisterWithoutUserName","Тест регистрации без userName",""
"passed","Tue Mar 25 12:03:36 MSK 2025","Tue Mar 25 12:03:36 MSK 2025","5","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate","testGetUserLastSessionDate()",""
"passed","Tue Mar 25 12:03:36 MSK 2025","Tue Mar 25 12:03:36 MSK 2025","3","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_HighlyActive","testGetUserStatus_HighlyActive()",""
"passed","Tue Mar 25 12:03:35 MSK 2025","Tue Mar 25 12:03:35 MSK 2025","23","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistration","Тест регистрации пользователя",""
"passed","Tue Mar 25 12:03:35 MSK 2025","Tue Mar 25 12:03:35 MSK 2025","17","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","testGetMonthlyActivityWithoutUserId","Тест получения метрик активности без userId",""
"passed","Tue Mar 25 12:03:35 MSK 2025","Tue Mar 25 12:03:36 MSK 2025","1435","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_Active","testGetUserStatus_Active()",""
"passed","Tue Mar 25 12:03:35 MSK 2025","Tue Mar 25 12:03:35 MSK 2025","25","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","testRecordSessionWithoutLoginTime","Тест записи сессии без loginTime",""
"passed","Tue Mar 25 12:03:36 MSK 2025","Tue Mar 25 12:03:36 MSK 2025","11","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate_NoSessions","testGetUserLastSessionDate_NoSessions()",""
"passed","Tue Mar 25 12:03:35 MSK 2025","Tue Mar 25 12:03:35 MSK 2025","20","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","testRecordSessionWithoutUserId","Тест записи сессии без userId",""
"passed","Tue Mar 25 12:03:35 MSK 2025","Tue Mar 25 12:03:35 MSK 2025","39","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","testGetTotalActivityWithoutUserId","Тест получения общего времени активности без userId",""
"passed","Tue Mar 25 12:03:35 MSK 2025","Tue Mar 25 12:03:35 MSK 2025","25","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","testRecordSessionWithInvalidDateFormat","Тест записи сессии с некорректным форматом даты",""
"passed","Tue Mar 25 12:03:35 MSK 2025","Tue Mar 25 12:03:35 MSK 2025","17","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","testGetMonthlyActivityWithoutMonth","Тест получения метрик активности без month",""
"passed","Tue Mar 25 12:03:35 MSK 2025","Tue Mar 25 12:03:35 MSK 2025","16","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","testGetMonthlyActivityWithNonExistentUserId","Тест получения метрик активности с несуществующим userId",""
"passed","Tue Mar 25 12:03:33 MSK 2025","Tue Mar 25 12:03:34 MSK 2025","1881","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","testRegisterWithoutUserId","Тест регистрации без userId",""
"passed","Tue Mar 25 12:03:35 MSK 2025","Tue Mar 25 12:03:35 MSK 2025","14","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","","org.itmo.testing.lab2.integration.UserAnalyticsControllerTest","testGetInactiveUsersWithoutDays","Тест получения неактивных пользователей без days",""
"passed","Tue Mar 25 12:03:36 MSK 2025","Tue Mar 25 12:03:36 MSK 2025","3","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_Inactive","testGetUserStatus_Inactive()",""
